State,Afforestation_by_campaign,Afforestation_by_community_partnership,Afforestation_by_memorandum_of_understanding,Total_afforestation
منطقة مكة المكرمة ,55000,16925,293300,365225
منطقة المدينة المنورة  ,50000,127810,184150,361960
الرياض ,74000,149095,338404,561499
القصيم ,37000,103830,186960,327790
الشرقية ,150000,36900,1482490,1669390
عسير,150000,12222,101759,263981
تبوك ,350000,25400,6500,381900
حائل ,0,18600,111550,130150
الجوف ,0,15175,71000,86175
الحدود الشمالية ,135000,89380,2350,226730
جازان ,444718,2000,61500,508218
الباحة ,0,19900,54200,74100
نجران ,0,8200,800,9000
الاجمالي ,1445718,625437,2894963,4966118
