Forest_index,Forest_Name,State,Town,Plants_type,Longitude,Latitude
F_1,غابة الصفا,نجران,نجران,اثل ، النمص،النخل,44.08539906,17.46522093
F_2,غابة الهيجة,نجران,نجران,اثل ، النمص ، طلح,44.06675694,17.45463665
F_3,غابة الصحن,نجران,يدمة,اراك ، سمر ، عشر,44.25180907,18.5058351
F_4,غابة رجلاء,نجران,نجران,سمر ، سلم ، طلح,44.23941821,17.4842945
F_5,غابة الغثمه,نجران,نجران,سدر ، سلم ، طلح ، قرض,43.96967427,17.58062959
F_6,غابة الحباية1,نجران,حبونا,سدر ، سلم ، طلح ، عشر,43.97613072,17.85126158
F_7,وادى حرس-هداده,نجران,بدر الجنوب,طلح ، سمر ، قرض,43.76499802,17.52504593
F_8,حلال,نجران,حبونا,اثل،اراك، سدر، سمر، مرخ,43.99158383,17.778204199999994
F_9,غابة مورك,عسير,المجاردة, ,42.07245848,18.90090171
F_10,غابات وادى ملحة,مكة المكرمة,بيشة, ,42.1402732,19.93419008
F_11,غابات وادى سروم الاعلى,مكة المكرمة,بيشة, ,42.10133945,19.963273
F_12,غابة وادى ارنط,المدينة المنورة,العلا,السمر والعوشز,37.10836826,26.80521476
F_13,غابة الهيجاء,الباحة,بلجرشى,الطلح والعرعر والزيتون الب,41.66117335,19.86163198
F_14,غابات الحكاك,مكة المكرمة,رابغ, ,39.30075416,22.78532461
F_15,غابة النظيم,الرياض,المجمعة, ,45.56784475,26.2496113
F_16,غابة الخشم,الرياض,المجمعة, ,45.81446447,25.93010039
F_17,غابة ام الذيابة,الرياض,المجمعة, ,45.38864258,26.75489374
F_18,غابات ومراعى ال طلحة,عسير,النماص, ,42.02726565,19.36792349
F_19,غابات ومراعى بنى رافع,عسير,النماص, ,42.00636474,19.39104467
F_20,غابة صبيا لومه,مكة المكرمة,القنفذة,الآراك,41.19329136,19.41677734
F_21,غابة المظيلف,مكة المكرمة,القنفذة,الآراك,41.08834124,19.53569781
F_22,شعيب الحسكى,حائل,بقعاء,الطلح والسدر,43.78362809,28.17583791
F_23,مراعى وغابات عكنان,عسير,النماص, ,42.06793815,19.41585854
F_24,غابات الصالحى,مكة المكرمة,القنفذة, ,41.18953147,19.23542872
F_25,غابات جبل منعاء,عسير,ابها, ,42.15980955,18.96883408
F_26,غابات بنى شهاب,مكة المكرمة,الليث,اراك,40.90082544,19.70780928
F_27,غابة سر ابن قنينة,عسير,احد رفيدة, ,42.93775833,18.06608435
F_28,غابات الاحسبة,مكة المكرمة,القنفذة, ,41.10642556,19.45730756
F_29,غابات الغائل,عسير,ظهران الجنوب, ,43.33566808,17.67891977
F_30,غابات غميقة,مكة المكرمة,الليث,الآراك,40.45644751,20.32545127
F_31,غابات غميقة,مكة المكرمة,الليث,الآراك,40.44779212,20.30244614
F_32,غابة حائل,حائل,بقعاء, ,41.8270084,27.69033886
F_33,غابة وادى مرخ,تبوك,الوجه,السمر والعوشز,36.93024094,26.98215745
F_34,غابة وادى حرامل,تبوك,الوجه,الاراك والعوشز,36.39449508,26.40250895
F_35,غابة وادى ام حرض,تبوك,الوجه, ,36.42283258,26.31703111
F_36,غابة وادى ام حرض,تبوك,الوجه,العوشز والاراك,36.44382361,26.33880103
F_37,غابة وادى زعم,تبوك,الوجه,السمر والرمس والعوشز,36.43449296,26.29058056
F_38,غابة وادى الرماحية,تبوك,الوجه,السمر والعوشز,36.74546291,26.01573227
F_39,غابة وادى الرماحية,تبوك,الوجه,السمر والعوشز,36.75680836,26.02451553
F_40,غابة وادى هيان,تبوك,الوجه,السمر والعوشز,36.59751773,26.08208477
F_41,غابة وادى هيان,تبوك,الوجه,السمر والعوشز,36.62001257,26.09539324
F_42,غابة وادى المرة,تبوك,الوجه,السمر والعوشز,36.72117091,26.02036262
F_43,غابة وادى المرة,تبوك,الوجه,السمر والعوشز,36.74818882,26.04048546
F_44,الماء الحار,مكة المكرمة,الليث,الآراك,40.46758156,20.3911012
F_45,الماء الحار,مكة المكرمة,الليث,الآراك,40.46276574,20.37807295
F_46,الماء الحار,مكة المكرمة,الليث,الآراك,40.45951212,20.37332516
F_47,وادى كلية,مكة المكرمة,رابغ, ,39.24508088,22.52179087
F_48,غابات وادى حيا,مكة المكرمة,رابغ, ,39.34241683,22.81939277
F_49,غابات وادى رابغ,مكة المكرمة,رابغ, ,39.33364036,22.80426658
F_50,غابات وادى الحلق,مكة المكرمة,رابغ, ,39.23085039,22.74910825
F_51,غابات وادى الخلة,جازان,القياس, ,42.14167384,17.97384553
F_52,غابات وادى الاصلاب,جازان,القياس, ,42.27410923,17.83147583
F_53,غابات,جازان,القياس, ,42.22868663,17.95492543
F_54,غابات وادى عرمرم,جازان,القياس, ,42.08368632,18.04454849
F_55,غابات وادى عرمرم,جازان,القياس, ,42.08435115,18.04573613
F_56,غابات وادى ضهياء,عسير,رجال المع, ,42.08273585,18.05322164
F_57,غابات وادى ريم,جازان,القياس, ,42.07575603,17.75915435
F_58,غابات وادى ريم,جازان,القياس, ,42.08744058,17.75327777
F_59,مواقع غابات كثيفة, , , ,41.53625366,19.90857758
F_60,غابات وادى عرمرم,جازان,القياس, ,42.18373996,17.906984
F_61,غابات وادى عرمرم,جازان,القياس, ,42.14153232,17.94179031
F_62,غابات وادى تربة,مكة المكرمة,الطائف, ,41.42360136,20.837154100000006
F_63,غابات وادى تربة,مكة المكرمة,الطائف, ,41.40432347,20.82811672
